Model,Validation_PR_AUC,Validation_ROC_AUC,Test_PR_AUC,Test_ROC_AUC,Test_F1,Test_Balanced_Accuracy,Test_Precision,Test_Recall,Test_Brier,Threshold_from_validation
LightGBM,0.5590966265044249,0.8196175454371778,0.5623964512117027,0.7826779810855772,0.5221203666799521,0.6950896723995474,0.5026861089792786,0.543117744610282,0.18709676781202064,0.6200981394891925
XGBoost,0.5584942854732582,0.8206296816505689,0.5636828496810787,0.7854914733059413,0.5304571638681211,0.7055585628357831,0.4765470160757542,0.5981205085682698,0.1841065732942884,0.5658844709396362
Gradient Boosting,0.5568592322161381,0.8186161406222489,0.5622731623479658,0.7839994230718799,0.5207402680280792,0.6962892249475618,0.4837562248043633,0.5638474295190713,0.1360225421833962,0.3038637568956247
Random Forest,0.5534185792474139,0.8125194428607314,0.5555674089289757,0.7741858935812462,0.5154477903793508,0.6915556941122412,0.4877868245743893,0.5464344941956882,0.1594116715975778,0.46649859439749564
Logistic Regression,0.5348673412933859,0.8087472939094198,0.5379062424596106,0.7722510577559148,0.46842525979216626,0.6563581210200016,0.5555555555555556,0.40491984521835267,0.15157502783504168,0.5483624731257576
