Raw feature,Mean absolute SHAP,Normalized importance,Rank
PageValues,1.7083867,1.0,1.0
Month,0.8197751,0.47985336,2.0
ExitRates,0.22649552,0.13257861,3.0
Administrative_Duration,0.101756394,0.05956286,4.0
ProductRelated_Duration,0.08741749,0.051169615,5.0
VisitorType,0.08185232,0.047912057,6.0
BounceRates,0.071263365,0.041713838,7.0
ProductRelated,0.06253872,0.03660689,8.0
Administrative,0.04805209,0.028127175,9.0
TrafficType,0.025566688,0.014965399,10.0
OperatingSystems,0.013952122,0.008166841,11.0
Informational_Duration,0.010867642,0.006361348,12.0
Weekend,0.0076477104,0.0044765687,13.0
Browser,0.006654164,0.0038949987,14.0
Region,0.000876894,0.0005132878,15.0
Informational,0.00062177324,0.00036395347,16.0
SpecialDay,0.0,0.0,17.0
