,TOPSIS rank,EDAS rank,MABAC rank,Aggregate rank
TOPSIS rank,1.0,0.9523809523809524,0.9285714285714287,0.9523809523809524
EDAS rank,0.9523809523809524,1.0,0.9761904761904763,1.0
MABAC rank,0.9285714285714287,0.9761904761904763,1.0,0.9761904761904763
Aggregate rank,0.9523809523809524,1.0,0.9761904761904763,1.0
