Raw feature,Mean absolute SHAP,Normalized importance
PageValues,1.6473074,1.0
Month,0.7653305,0.46459484
ExitRates,0.26770982,0.16251358
VisitorType,0.09324665,0.056605496
BounceRates,0.09035636,0.05485094
Administrative_Duration,0.080356285,0.04878038
ProductRelated_Duration,0.076316155,0.04632782
ProductRelated,0.05800566,0.03521241
Region,0.039656874,0.024073755
Administrative,0.03444947,0.020912593
OperatingSystems,0.031496115,0.019119756
TrafficType,0.016546967,0.010044857
Informational,0.0044454965,0.002698644
Browser,0.0034853383,0.0021157789
Informational_Duration,0.0016089028,0.0009766865
Weekend,0.0011613566,0.0007050029
SpecialDay,0.0,0.0
