Feature set,Seed,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
Without PageValues,77,LightGBM,0.680183833468505,0.29146757679180885,0.7465034965034965,0.41924398625429554,0.7907244258779276,0.37862483202028563,0.18668452696209542
Without PageValues,87,Logistic regression,0.6326034063260341,0.25844076120319215,0.736013986013986,0.3825533848250795,0.7477468965316743,0.32835143250506543,0.20839578607885648
Without PageValues,87,Random forest,0.8167072181670721,0.3948412698412698,0.3479020979020979,0.36988847583643125,0.7810995368558528,0.35747634042626625,0.13017498781229464
Without PageValues,87,Gradient boosting,0.8456339551230062,0.5081967213114754,0.05419580419580419,0.09794628751974724,0.777572563349666,0.36566356341408673,0.11360313936716104
Without PageValues,87,XGBoost,0.8461746417950797,0.5454545454545454,0.03146853146853147,0.05950413223140496,0.7818341715847312,0.3718207115294526,0.11291936406362477
Without PageValues,87,LightGBM,0.6682887266828873,0.28325612177365983,0.7482517482517482,0.4109457513202112,0.782440496823292,0.3695108156315326,0.1913384192033255
Without PageValues,97,Logistic regression,0.6271965396052988,0.2547112462006079,0.7325174825174825,0.37798827244023453,0.7518125462640973,0.325698238679189,0.212594750566557
Without PageValues,97,Random forest,0.8242768315761017,0.4213709677419355,0.36538461538461536,0.3913857677902622,0.7841901462784098,0.3759872512734314,0.129745225482848
Without PageValues,97,Gradient boosting,0.8432008650986753,0.45454545454545453,0.06993006993006994,0.12121212121212122,0.7803358298241574,0.36043451664007,0.1137086581742418
Without PageValues,97,XGBoost,0.8464449851311165,0.5555555555555556,0.03496503496503497,0.06578947368421052,0.7830521333479441,0.37183360085637385,0.11284188474227695
Without PageValues,97,LightGBM,0.6661259799945931,0.2837573385518591,0.7604895104895105,0.41330166270783847,0.7874454055698059,0.3760681352600496,0.19118446257275049
