Model,Accuracy mean,Accuracy std,F1 mean,F1 std,ROC-AUC mean,ROC-AUC std,PR-AUC mean,PR-AUC std,Brier mean,Brier std
XGBoost,0.9051635577183023,0.004077715991956756,0.6643385113832455,0.017652111746266075,0.9347094782416177,0.006588642083689918,0.7542049747965988,0.02060296483891631,0.06777975412896686,0.0028886209716046554
LightGBM,0.86220600162206,0.006896022281834145,0.6583158797495485,0.012217032660343354,0.9351276441818495,0.006197427410542222,0.7522532793635746,0.019823264551704047,0.10292097541448411,0.00461597803071644
Gradient boosting,0.9040551500405515,0.0038790055825363517,0.6610437017790628,0.014927639218365806,0.9336305324033178,0.006349957865117684,0.7507616628083031,0.01886596071779282,0.06844914670630757,0.0027403536782570313
Random forest,0.8943498242768315,0.0042741234878707,0.6877421623545787,0.010678893697400037,0.9346274608027085,0.006033687608620958,0.7507464640278962,0.01977969988839352,0.07626118899093307,0.002910942337322375
Logistic regression,0.851419302514193,0.0074639570744019145,0.6135123060218917,0.011279378431871045,0.9046055559407014,0.006339603392564954,0.6485661700061381,0.01618247993005554,0.1205733241663085,0.0038821357679437126
