Raw feature,Mean absolute SHAP,Normalized importance
PageValues,1.7763442,1.0
Month,0.82370013,0.46370524
ExitRates,0.21481302,0.120929845
BounceRates,0.105092764,0.05916239
ProductRelated,0.095266044,0.053630397
VisitorType,0.0888415,0.050013673
ProductRelated_Duration,0.0857815,0.048291035
Administrative_Duration,0.0560214,0.03153747
Administrative,0.053427596,0.030077277
Browser,0.016458979,0.009265647
TrafficType,0.010469066,0.005893602
Weekend,0.0032014581,0.0018022736
Informational_Duration,0.0031644935,0.0017814642
OperatingSystems,0.002802699,0.0015777906
SpecialDay,0.0013753421,0.0007742543
Informational,0.0013026269,0.000733319
Region,0.0012743148,0.0007173806
