Curve,x,y,Model
ROC,0.0,0.0,Logistic regression
ROC,0.0,0.0017482517482517483,Logistic regression
ROC,0.0,0.005244755244755245,Logistic regression
ROC,0.0003197953309881676,0.005244755244755245,Logistic regression
ROC,0.0003197953309881676,0.008741258741258742,Logistic regression
ROC,0.0006395906619763352,0.008741258741258742,Logistic regression
ROC,0.0006395906619763352,0.015734265734265736,Logistic regression
ROC,0.0009593859929645027,0.015734265734265736,Logistic regression
ROC,0.0009593859929645027,0.033216783216783216,Logistic regression
ROC,0.0015989766549408379,0.033216783216783216,Logistic regression
ROC,0.0015989766549408379,0.050699300699300696,Logistic regression
ROC,0.0019187719859290054,0.050699300699300696,Logistic regression
ROC,0.0019187719859290054,0.05419580419580419,Logistic regression
ROC,0.0025583626479053407,0.05419580419580419,Logistic regression
ROC,0.0025583626479053407,0.05944055944055944,Logistic regression
ROC,0.002878157978893508,0.05944055944055944,Logistic regression
ROC,0.002878157978893508,0.06818181818181818,Logistic regression
ROC,0.0031979533098816758,0.06818181818181818,Logistic regression
ROC,0.0031979533098816758,0.08391608391608392,Logistic regression
ROC,0.003517748640869843,0.08391608391608392,Logistic regression
ROC,0.003517748640869843,0.0979020979020979,Logistic regression
ROC,0.003837543971858011,0.0979020979020979,Logistic regression
ROC,0.003837543971858011,0.11888111888111888,Logistic regression
ROC,0.004157339302846178,0.11888111888111888,Logistic regression
ROC,0.004157339302846178,0.12237762237762238,Logistic regression
ROC,0.004477134633834346,0.12237762237762238,Logistic regression
ROC,0.004477134633834346,0.13111888111888112,Logistic regression
ROC,0.004796929964822514,0.13111888111888112,Logistic regression
ROC,0.004796929964822514,0.13986013986013987,Logistic regression
ROC,0.005116725295810681,0.13986013986013987,Logistic regression
ROC,0.005116725295810681,0.1486013986013986,Logistic regression
ROC,0.005436520626798848,0.1486013986013986,Logistic regression
ROC,0.005436520626798848,0.15034965034965034,Logistic regression
ROC,0.005756315957787016,0.15034965034965034,Logistic regression
ROC,0.005756315957787016,0.1590909090909091,Logistic regression
ROC,0.006076111288775184,0.1590909090909091,Logistic regression
ROC,0.006076111288775184,0.16783216783216784,Logistic regression
ROC,0.0063959066197633516,0.16783216783216784,Logistic regression
ROC,0.0063959066197633516,0.17132867132867133,Logistic regression
ROC,0.007355292612727854,0.17132867132867133,Logistic regression
ROC,0.007355292612727854,0.17307692307692307,Logistic regression
ROC,0.007675087943716022,0.17307692307692307,Logistic regression
ROC,0.007675087943716022,0.18006993006993008,Logistic regression
ROC,0.008314678605692356,0.18006993006993008,Logistic regression
ROC,0.008314678605692356,0.19230769230769232,Logistic regression
