Seed A,Seed B,Spearman rho,Top-5 overlap,Top-8 overlap
7,17,0.9093137254901962,0.6,1.0
7,27,0.8259803921568629,0.8,1.0
7,37,0.8921568627450982,0.8,1.0
7,47,0.9012877230528168,0.8,1.0
17,27,0.8970588235294119,0.6,1.0
17,37,0.9068627450980394,0.8,1.0
17,47,0.9135501410535354,0.6,1.0
27,37,0.965686274509804,0.8,1.0
27,47,0.9576948458561222,1.0,1.0
37,47,0.9564686040560505,0.8,1.0
