Raw feature,Mean absolute SHAP,Normalized importance
PageValues,1.7083867,1.0
Month,0.8197751,0.47985336
ExitRates,0.22649552,0.13257861
Administrative_Duration,0.101756394,0.05956286
ProductRelated_Duration,0.08741749,0.051169615
VisitorType,0.08185232,0.047912057
BounceRates,0.071263365,0.041713838
ProductRelated,0.06253872,0.03660689
Administrative,0.04805209,0.028127175
TrafficType,0.025566688,0.014965399
OperatingSystems,0.013952122,0.008166841
Informational_Duration,0.010867642,0.006361348
Weekend,0.0076477104,0.0044765687
Browser,0.006654164,0.0038949987
Region,0.000876894,0.0005132878
Informational,0.00062177324,0.00036395347
SpecialDay,0.0,0.0
