Raw feature,Mean absolute SHAP,Normalized importance,Rank
PageValues,1.6473074,1.0,1.0
Month,0.7653305,0.46459484,2.0
ExitRates,0.26770982,0.16251358,3.0
VisitorType,0.09324665,0.056605496,4.0
BounceRates,0.09035636,0.05485094,5.0
Administrative_Duration,0.080356285,0.04878038,6.0
ProductRelated_Duration,0.076316155,0.04632782,7.0
ProductRelated,0.05800566,0.03521241,8.0
Region,0.039656874,0.024073755,9.0
Administrative,0.03444947,0.020912593,10.0
OperatingSystems,0.031496115,0.019119756,11.0
TrafficType,0.016546967,0.010044857,12.0
Informational,0.0044454965,0.002698644,13.0
Browser,0.0034853383,0.0021157789,14.0
Informational_Duration,0.0016089028,0.0009766865,15.0
Weekend,0.0011613566,0.0007050029,16.0
SpecialDay,0.0,0.0,17.0
